id,name,status,colors
1,"Supernova",inactive,"#F0E68C,#F0E68C"
2,"Upper Street Ballers",inactive,"#8FBC8F,#8FBC8F"
3,"Camden Hells",inactive,"#FF0000,#F1F1F1"
4,"Pentonville Pacers",inactive,"#F5F5F5,#F5F5F5"
5,"London Bulls",inactive,"#F5F5F5,#F5F5F5"
6,"Rockets",active,"#FF0000,#000000"
7,"Islington Devils",inactive,"#F5F5F5,#F5F5F5"
8,"Shoreditch Shooters",inactive,"#F5F5F5,#F5F5F5"
9,"N1 JAM",inactive,"#F5F5F5,#F5F5F5"
10,"Lost Angels",active,"#0000FF,#FFD700"
11,"Burritos",active,"#000000,#F1F1F1"
12,"Ocelots",active,"#FF1493,#FF1493"
13,"NOT reloaded",unknown,"#F5F5F5,#F5F5F5"
14,"U.N.B.A.",active,"#2E8B57,#2E8B57"
15,"RELOADED",active,"#FF0000,#FF0000"
16,"Alley-Oops",active,"#008000,#008000"
17,"Halo Hoops",active,"#4169E1,#4169E1"
