season_label,season_id,semifinal1,semifinal2,5th_semifinal1,5th_semifinal2,7th,5th,3rd,final
Autumn 2014,55,13,14,,,,,16,15
Winter 2015,59,147,148,146,,,149,150,151
Spring 2015,62,93,94,92,,,95,96,97
Summer 2015,70,119,120,121,,,122,123,124
Autumn 2015,73,38,39,40,,,41,42,43
Late Autumn 2015,79,65,66,67,,,68,69,70
Winter 2016,85,281,282,283,,,284,285,286
Spring 2016,80,227,228,229,,,230,231,232
Summer 2016,86,254,255,256,,,257,258,259
Autumn 2016,96,173,174,175,,,176,177,178
Late Autumn 2016,98,200,201,202,,,203,204,205
Winter 2017,100,402,403,404,,,405,406,407
Spring 2017,101,348,349,350,,,351,352,353
Summer 2017,102,375,376,377,,,378,379,380
Autumn 2017,104,315,316,317,318,319,321,320,322
Late Autumn 2017,105,,,,,,,,
